WKT,name,description
"POLYGON ((-157.7963767 21.2572967, -157.797164 21.2569155, -157.7970003 21.2566293, -157.7962144 21.2570505, -157.7963767 21.2572967))",Research Area,
"POLYGON ((-157.7965425 21.2572166, -157.796456 21.257091, -157.7963702 21.2569673, -157.7962171 21.2570455, -157.7963794 21.2572917, -157.7965425 21.2572166))",Transect 1,
"POLYGON ((-157.7965439 21.2572154, -157.7966953 21.2571404, -157.796525 21.2568866, -157.7963702 21.2569673, -157.7965439 21.2572154))",Transect 2,
"POLYGON ((-157.7966967 21.2571392, -157.7968537 21.2570654, -157.7966806 21.2568005, -157.7965237 21.2568829, -157.7966967 21.2571392))",Transect 3,
"POLYGON ((-157.7966806 21.2568005, -157.7968537 21.2570654, -157.7969971 21.2569954, -157.7968389 21.2567154, -157.7966806 21.2568005))",Transect 4,
"POLYGON ((-157.7969971 21.2569954, -157.797164 21.2569155, -157.7970003 21.2566293, -157.7968389 21.2567154, -157.7969971 21.2569954))",Transect 5,
